item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 84%; median |ACF(1)| = 0.068,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,400
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 70% (median 2.31); JB rejects in 90%; Hill median 3.60,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,1820
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 69%; LB r^2 in 59%; ARCH-LM(5) rejects in 49%; median ACF|r|(1) = 0.161,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,1820
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.137, 5: 0.116, 10: 0.091, 20: 0.053, 50: 0.007",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.966,"median alpha + beta in [0.90, 0.995]",True,1820
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 70% (median -0.054); GJR gamma median 0.083",negative in >= 70%; gamma > 0,True,1820
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.362; median AC(1) log volume = 0.801; Shapiro p > 0.01 in 50% of seeds (median p = 0.010)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),False,1820
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.133; worst day larger than best in 56%,skew < 0; worst > best in >= 70% of crash seeds,False,600
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9482, half-life = 13 d, sd(x) = 0.050; T=800 phase-free: ACF(1) = 0.9856, half-life = 48 d, sd(x) = 0.107 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,False,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.41, spread between delta 0.55 and 0.85 = 17.9 pp, means 0.55: -57.0%, 0.7: -47.4%, 0.85: -39.1%; whole-path MDD (reported): partial R2 0.40, spread 16.6 pp, means 0.55: -60.2%, 0.7: -51.3%, 0.85: -43.6%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",False,600
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 66% (median 1.13e-04); topped share = 62%; median peak P/V in topped seeds = 2.18,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,200
12,Sentiment dynamics,"median ACF(1) = 0.884; median corr(s_t, r_t) = 0.370; median calm corr(s_t-1, r_t) = -0.001 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,True,1820
13,IV realism,"mean IV calm 27.4%, panic 59.9%; median corr(IV, next-20d RV) = 0.40; IV-RV calm +7.5 pts, panic +23.0 pts; sd of calm IV across seeds 10.97","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,1820
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 61.2% (mixed set, 1820 paths; within-scenario mean 72.7%); |corr(day, phase id)| = 0.22",< 80% on the mixed set; < 0.9,True,1820
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 2.9%; crash: rejection rate 1.6%; sustained_bull: rejection rate 25.1%; mixed: rejection rate 1.5%; flat_T800: rejection rate 0.0%; bull-trap topped share 62%,rejection < 5% per scenario; joint conditioning published,False,1820
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -52.4%; median calm daily sigma (flat) = 1.39%; median worst panic day = -6.8%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,False,800
